attempt_id,case_id,queue_id,source_block_id,family_id,normal,accepted,classification,rejection_reasons,source_relative_loss_hartree,orthonormal_tangent_gradient_infinity,optimizer_success,optimizer_iterations,energy_evaluations,gradient_vector_evaluations,cnot_delta,cnot_depth_delta,total_depth_delta,parameter_delta,paper_measurement_cost
pra-s6-attempt:160c4d8afc48d1d5afc81dc43e730916d2257a11919ea8eb620c33404b99bc5c,h4-1.0,pra-s6-queue:e9a044e02319a4bccd3b05d0eff0d1736d0c880d7666f51707b93104c6415978,block-v1:21918bd7397f92923afe7f480471f5d0cea7c1d28d811b0a062f1636dfa5e1fb,v6-ns-family:00630228cc0ccc0f76bc2cd500b96ec1cd2b487a78f04f69996079e0702726fa,"[1,1,-1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,1.3322676295501878e-15,7.485225481107527e-09,True,39,44,44,-2,0,-4,-1,
pra-s6-attempt:d74783886a433492104f2fafaf223a132f514c1ff67e9af594d7da32efb149ec,h4-1.0,pra-s6-queue:7f580ff95527a128fe4a13554d13c180fb2273b51d257bb053219f2f8ec26d6c,block-v1:21918bd7397f92923afe7f480471f5d0cea7c1d28d811b0a062f1636dfa5e1fb,v6-ns-family:1bd5552f1cc2df503c3111f459cc1ce8c5ef3d58e4de413675f78a44fe72176b,"[1,1,1]",False,PRIMARY_NATIVE_RANK2_REJECTED,kkt|optimizer_path_reviewed,1.3322676295501878e-15,1.5649582859965e-08,False,38,80,69,-2,0,-4,-1,
pra-s6-attempt:d4b570dd99ec4529add68330f6957e9f7333258a1c8f9792da050a9d2ef0b9de,h4-1.0,pra-s6-queue:45826afc34129cffcc5ff123e6cebd5ed0389f2fb8019b537976ac976ef4f08e,block-v1:21918bd7397f92923afe7f480471f5d0cea7c1d28d811b0a062f1636dfa5e1fb,v6-ns-family:1d05b2720fc1cd78db70bd697f5ec77bff77fc96f58b0c57a24ecb3f077ca18d,"[1,-1,-1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,4.440892098500626e-16,1.7863396280323926e-09,True,37,45,45,0,0,-2,-1,
pra-s6-attempt:ce24718356381bda49597c33f94e91351bb0bc30ec799a072058e366fb0c954c,h4-1.0,pra-s6-queue:60a2d62dc6bdeb90ac9f1e6ba26343f4639d95a0457e813360a5c15cd7b8ecf2,block-v1:21918bd7397f92923afe7f480471f5d0cea7c1d28d811b0a062f1636dfa5e1fb,v6-ns-family:36564e90c05ea0d4eb801d3fb6df949c37b301ff3156ad904bf442523ca31be4,"[1,-1,1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,8.881784197001252e-16,1.4979249017381402e-09,True,39,43,43,0,0,-2,-1,
pra-s6-attempt:d87d1128bf43e4e781edbc4124029b80e30e2f41d1fb8b0ad09f05564acf2662,h4-1.0,pra-s6-queue:f868c1307c9f4f2bd068a84de0259a58d36d5beb542662e8ec55e7a1b0f60c0f,block-v1:c4d21466fd92392fb2cd391ad45fd8d876183754d692d3d8f97c2dd60d39583b,v6-ns-family:00630228cc0ccc0f76bc2cd500b96ec1cd2b487a78f04f69996079e0702726fa,"[1,1,-1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,8.881784197001252e-16,3.4162479616017816e-09,True,38,43,43,-2,0,-4,-1,
pra-s6-attempt:42577a5983b5dcc8ba3ee7a3eb0db70207b5d6bfefd4b4bc031e0d949915849a,h4-1.0,pra-s6-queue:c349fb5d393defa7dcfce2eb7321bf50b536d909ebe13acc298862774251de60,block-v1:c4d21466fd92392fb2cd391ad45fd8d876183754d692d3d8f97c2dd60d39583b,v6-ns-family:1bd5552f1cc2df503c3111f459cc1ce8c5ef3d58e4de413675f78a44fe72176b,"[1,1,1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,4.440892098500626e-16,2.772236412651452e-09,True,38,43,43,-2,0,-4,-1,
pra-s6-attempt:d66d18724fc4138371fe9ce37349a65c5a73248d23649e9ef7359f52736a735a,h4-1.0,pra-s6-queue:6042d71b419f854c419680e4fa3806addec02c8f5662a657e23f2be6073ec00b,block-v1:c4d21466fd92392fb2cd391ad45fd8d876183754d692d3d8f97c2dd60d39583b,v6-ns-family:1d05b2720fc1cd78db70bd697f5ec77bff77fc96f58b0c57a24ecb3f077ca18d,"[1,-1,-1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,4.440892098500626e-16,2.0999212239279598e-09,True,38,43,43,0,0,-2,-1,
pra-s6-attempt:8d4a021121af0f2a60aa964eaffa2a812890794f384ad5773280da970df095be,h4-1.0,pra-s6-queue:84a2b8003c9bb9cd3f0e5806009398c6ad54c41eae0aae94a973115bd7819e74,block-v1:c4d21466fd92392fb2cd391ad45fd8d876183754d692d3d8f97c2dd60d39583b,v6-ns-family:36564e90c05ea0d4eb801d3fb6df949c37b301ff3156ad904bf442523ca31be4,"[1,-1,1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,1.7763568394002505e-15,4.339334732671499e-09,True,38,44,44,0,0,-2,-1,
pra-s6-attempt:761b13c98b9a314842883c36eacd0547e7dce48d0900b81576e5dab3a8995dce,h4-2.0,pra-s6-queue:733cc850abc478813a581b8ae89c486ef4c8b0a64ec89c6054eb837344a2a2ab,block-v1:2bf1e61ecd376a93af63960911e348e658d549ba05064bb29662eb5ec6544005,v6-ns-family:00630228cc0ccc0f76bc2cd500b96ec1cd2b487a78f04f69996079e0702726fa,"[1,1,-1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,4.440892098500626e-16,6.677929089152391e-09,True,182,189,189,-2,0,-4,-1,
pra-s6-attempt:78b6e976c63bdc2e7b3860d186858c9676c430db01b7c5a192c43863cad7066f,h4-2.0,pra-s6-queue:0d768fcb53e7a5afe66c679c8a281c6d9feff21c15536c73a5ad411035c76fbe,block-v1:2bf1e61ecd376a93af63960911e348e658d549ba05064bb29662eb5ec6544005,v6-ns-family:1bd5552f1cc2df503c3111f459cc1ce8c5ef3d58e4de413675f78a44fe72176b,"[1,1,1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,-4.440892098500626e-16,3.7906048300229145e-09,True,114,117,117,-2,0,-4,-1,
pra-s6-attempt:d77360b7f89d7047ecdc3e31e6156ea7172f8e6a183b7191e687bc12bd1af1ad,h4-2.0,pra-s6-queue:292167fc7dc7965e0f9dd8441a5eeb0fd002d04e0b5f4ebc7f379f64590996f0,block-v1:2bf1e61ecd376a93af63960911e348e658d549ba05064bb29662eb5ec6544005,v6-ns-family:1d05b2720fc1cd78db70bd697f5ec77bff77fc96f58b0c57a24ecb3f077ca18d,"[1,-1,-1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,0.0,9.875715883955749e-09,True,159,166,166,0,0,-2,-1,
pra-s6-attempt:d4a8f089d94949b5d96a3d4d3c2e1339de88e6e948103dcada93ff10efad1af4,h4-2.0,pra-s6-queue:9103b11bc392054c3e8e0f3437955a0b12777e947609c605a9c761057b4b382d,block-v1:2bf1e61ecd376a93af63960911e348e658d549ba05064bb29662eb5ec6544005,v6-ns-family:36564e90c05ea0d4eb801d3fb6df949c37b301ff3156ad904bf442523ca31be4,"[1,-1,1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,0.0,5.304743505574194e-09,True,160,170,170,0,0,-2,-1,
pra-s6-attempt:e22d3dcbcd24968120f5618e465a91e87b00267f602b50d5b90eaabf9e7cb874,h4-2.0,pra-s6-queue:930dce69980a2c11004024ffa52194d3b530e460f27b2b3306c1165f5af34400,block-v1:b1d38b676672d610d0a600f108cca6bfb85cdc1a728af0cf34b206fed5bd4165,v6-ns-family:00630228cc0ccc0f76bc2cd500b96ec1cd2b487a78f04f69996079e0702726fa,"[1,1,-1]",False,PRIMARY_NATIVE_RANK2_REJECTED,kkt|optimizer_path_reviewed,7.132247459296082e-09,1.9461985494600986e-05,False,200,218,218,-2,0,-4,-1,
pra-s6-attempt:0b19f9585806d6e89f9a55dc37815aa24ecca9b25cd8df03c3b1cc25b6a97b61,h4-2.0,pra-s6-queue:a414edf70c540546aeddc613d6a7f5fbf0eca8b4d2e61d0be2e86437fabf5a3d,block-v1:b1d38b676672d610d0a600f108cca6bfb85cdc1a728af0cf34b206fed5bd4165,v6-ns-family:1bd5552f1cc2df503c3111f459cc1ce8c5ef3d58e4de413675f78a44fe72176b,"[1,1,1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,0.0,5.5915891916669125e-09,True,113,117,117,-2,0,-4,-1,
pra-s6-attempt:a068714cfc0b409164293d6e8823a1d3c76dba37541c93ca01d8a003433be695,h4-2.0,pra-s6-queue:644f860e677afd564092226e5e61a7e41876e7d229448b03fec884d267075e63,block-v1:b1d38b676672d610d0a600f108cca6bfb85cdc1a728af0cf34b206fed5bd4165,v6-ns-family:1d05b2720fc1cd78db70bd697f5ec77bff77fc96f58b0c57a24ecb3f077ca18d,"[1,-1,-1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,-8.881784197001252e-16,3.0934298039797525e-09,True,190,199,199,0,0,-2,-1,
pra-s6-attempt:61c30fd06868978104c5f1b0b5f375c3fe283023b4d1852d39bcb43cb07b625c,h4-2.0,pra-s6-queue:2c56f16d3dc6cc1eed613d1771121eea4d7c47f35d1c0f1f47c03e21d8c5127e,block-v1:b1d38b676672d610d0a600f108cca6bfb85cdc1a728af0cf34b206fed5bd4165,v6-ns-family:36564e90c05ea0d4eb801d3fb6df949c37b301ff3156ad904bf442523ca31be4,"[1,-1,1]",True,PRIMARY_NATIVE_RANK2_ACCEPTED,,-4.440892098500626e-16,3.4614961444065506e-09,True,128,134,134,0,0,-2,-1,
pra-s6-attempt:8082d434f4a123b2ddaf9f57a0618698f79fee7ec41796602a6ab219b6d21471,h5-1.5,pra-s6-queue:e22506777cdb460e02aa28af912ad6cb92a022e3b08fc12416c341100161b956,block-v1:ce880d3fb9fa66bb179bbc9d787227afe8c7002454c26fafc1427e6d3e858635,v6-ns-family:00630228cc0ccc0f76bc2cd500b96ec1cd2b487a78f04f69996079e0702726fa,"[1,1,-1]",False,PRIMARY_NATIVE_RANK2_REJECTED,kkt|optimizer_path_reviewed,1.1461667295264988e-06,9.640146639544448e-05,False,200,203,203,-2,0,-4,-1,
pra-s6-attempt:164eeb87cff53eed6e19ec8ce95ea499e39f694611081307bd489f3519688c56,h5-1.5,pra-s6-queue:c2938a15ab255120276812fa76a3c550468059a0e6893205a8dd1c208b5f06b3,block-v1:ce880d3fb9fa66bb179bbc9d787227afe8c7002454c26fafc1427e6d3e858635,v6-ns-family:1bd5552f1cc2df503c3111f459cc1ce8c5ef3d58e4de413675f78a44fe72176b,"[1,1,1]",False,PRIMARY_NATIVE_RANK2_REJECTED,kkt|optimizer_path_reviewed,1.4936523649033973e-06,1.8134543135744224e-06,False,200,203,203,-2,0,-4,-1,
pra-s6-attempt:d7a04d2b110758a0597d393e5a0a423455a521ec66bf5cc3ca6f7698e68f4252,h5-1.5,pra-s6-queue:b9a67e93634f20e8af6291e768da6e3826c0bde2d60b5df2c38010fa5b46b270,block-v1:ce880d3fb9fa66bb179bbc9d787227afe8c7002454c26fafc1427e6d3e858635,v6-ns-family:1d05b2720fc1cd78db70bd697f5ec77bff77fc96f58b0c57a24ecb3f077ca18d,"[1,-1,-1]",False,PRIMARY_NATIVE_RANK2_REJECTED,kkt|optimizer_path_reviewed,7.287092111951665e-07,1.8321270332324413e-05,False,200,203,203,0,0,-2,-1,
