case_id,candidate_id,kind,target_family,safe,actual_change_hartree,magnitude,magnitude_position,diagonal_hessian,single_coordinate_obs,general_constraint_obs,exact_hessian_oracle,projection_on_success,projection_on_iterations,projection_on_nfev,projection_on_njev,projection_on_wall_seconds,projection_off_success,projection_off_iterations,projection_off_nfev,projection_off_njev,projection_off_wall_seconds,delta_cnot_count,delta_cnot_depth,delta_total_depth,delta_parameters,delta_blocks,paper_measurement_cost
h2-1.5-iteration-1,candidate-v1:a9dbe642deb55cc69fbd01a1342ab2358430f66630037c8b84b682ec5b539f04,block-deletion,empty,False,0.08727579887702375,0.1320199507623559,0.1320199507623559,0.09122008965824073,0.09122008965824073,0.09122008965824073,0.09122008974172785,True,0,0,0,0.0005463340203277767,True,0,0,0,0.0005796250188723207,-9,-7,-13,-1,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:db5fb02bce1654d5c349d836130ae251308b94fc86608d3a556571a637d73200,block-deletion,empty,False,0.017289656337286408,0.12734567913942477,0.12734567913942477,0.07410067857797686,0.04990965501569213,0.04990965501569213,0.0505821184241291,True,24,27,27,0.5286154169880319,False,26,32,32,0.652235749992542,-9,0,-13,-1,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:5d7805f7dfc77e353809c27d3c11919946756631254aa0f75804ad48ae336551,block-deletion,empty,False,0.01728965633728574,0.017895068066602297,0.016105561259942065,0.021444420599060352,0.01881469956966377,0.01881469956966377,0.018291498783881234,True,9,10,10,0.20654158300021663,True,10,11,11,0.2659608749963809,-9,0,-13,-1,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:d23aa90310d38b46684404e6b5d8c53f0297d5b46b7441cdd2908c7ed224d799,block-deletion,empty,False,0.020026272746967555,0.04100969954974159,0.03355339054069766,0.024028925484979806,0.01863177975589069,0.01863177975589069,0.020602271707966288,False,10,46,35,0.7028019160206895,True,10,11,11,0.259450708021177,-9,0,-13,-1,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:af69fa8e99373f7d76ca6b2b4d45d396b109756ad087ed6cc28520d4c25a18a2,block-deletion,empty,False,0.020026272746967777,0.041009699614966054,0.030757274711224542,0.023419499918948723,0.018436539892823157,0.018436539892823157,0.02060227170723678,True,10,11,11,0.2300693340075668,True,10,11,11,0.2646011670003645,-9,0,-13,-1,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:58857b6297c6ea4052c33f3596c196575f4c48f59bd1f611b3571bddf9101ce8,block-deletion,empty,False,0.005886825712460464,0.01147620015754236,0.007945061647529327,0.008409113779725837,0.005724021481213883,0.005724021481213883,0.006159871605430561,True,8,9,9,0.19024983298731968,True,9,10,10,0.2634655410074629,-9,0,-13,-1,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:9fa58e963f34702253766deeed02aff01661fe0a3ee3b3634013d447c45214c2,block-deletion,empty,False,0.005296379919165872,0.008315294195735077,0.0053455462686868346,0.007511483959578817,0.005373446429576369,0.005373446429576369,0.005516915659531548,True,8,9,9,0.18902741698548198,False,9,57,45,0.9247445419896394,-9,0,-13,-1,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:7f2a090c514c1939fe586e0a34c2257a20232ea354b9081ba42427e996117ab2,mvp-whole-deletion,empty,False,0.01177630982281519,0.1425107179679712,0.08274815882011231,0.026216327412109483,,0.013344042406371557,0.013345241783685369,True,8,9,9,0.1751396250037942,True,9,10,10,0.21600183300324716,-13,0,-24,-2,-1,
h4-1.5-first-chemical-accuracy,candidate-v1:70b156419fc7f6bc31d927dea9d953a9705ccede9d044e5ae537e6ce5f8fd0e8,mvp-constituent-deletion,single-QE,False,0.010445566275024909,0.0225038486000043,0.013502309160002581,0.014041707666505691,0.010311194651419038,0.010311194651419038,0.010769715843768018,True,8,9,9,0.18895841698395088,True,9,10,10,0.2432486249890644,0,0,-3,-1,0,
h4-1.5-first-chemical-accuracy,candidate-v1:fff7155780d50642af0896f96640a99e5391604a16074490c8b32a7756155c52,mvp-constituent-deletion,single-QE,False,0.004917315579509918,0.12000686936796691,0.06750386401948139,0.012174619745603778,0.006143169062930308,0.006143169062930308,0.006269837608281735,True,8,9,9,0.19498908301466145,True,9,10,10,0.2397785000212025,0,0,-3,-1,0,
h4-1.5-first-chemical-accuracy,candidate-v1:7f20067caa031a05345976e1024b170c50ce565c1e60805b9168e4ed0e17b548,mvp-to-ovp-sum,OVP,False,0.007371324580842886,0.24644562873845718,0.14309746184813643,0.021505270463198438,,0.00988434728437146,0.009868808901498487,True,9,11,11,0.2262099999934435,True,10,11,11,0.2649553749943152,-4,0,-11,-1,0,
h4-1.5-first-chemical-accuracy,candidate-v1:920d2dd8c375f70c51cf28bcbcf2209142fdbc274f81e80194748d8bfd971d69,mvp-to-ovp-diff,OVP,False,0.0020079504720560415,0.03857580719748522,0.02239885579208819,0.0033661913512175123,,0.002084949220546602,0.002205892706046202,True,7,8,8,0.1723391670093406,True,7,8,8,0.21208141700481065,-4,0,-11,-1,0,
h4-1.5-first-chemical-accuracy,candidate-v1:4d1a87a7bdec5c9a5995c45f8f39773b86e20eb88aa20f93f98cf50dd4e8711d,mvp-whole-deletion,empty,False,0.010476305561654353,0.06335043377473452,0.032580223084149186,0.017834005319968607,,0.010163233761793521,0.010899879058113947,True,7,8,8,0.15709129101014696,True,8,9,9,0.21348991699051112,-13,0,-24,-2,-1,
