case,label,adapt_iteration,energy_hartree,absolute_error_hartree,parameter_count,cnot_count,cnot_depth,total_depth,elapsed_seconds
h6-1.5,Linear H6 at 1.5 A,1,-2.796763816419722,0.19880160941222025,3,27,7,39,75.86100683303084
h6-1.5,Linear H6 at 1.5 A,2,-2.850738993090154,0.1448264327417883,5,45,14,65,81.73836145800306
h6-1.5,Linear H6 at 1.5 A,3,-2.911316995945149,0.08424842988679337,7,63,21,91,88.48258787498344
h6-1.5,Linear H6 at 1.5 A,4,-2.943729716347544,0.051835709484397974,10,90,28,130,97.51782687503146
h6-1.5,Linear H6 at 1.5 A,5,-2.948452873205934,0.04711255262600833,15,125,41,191,114.28602612501709
h6-1.5,Linear H6 at 1.5 A,6,-2.9589765449464687,0.03658888088547352,20,160,54,252,147.57255275000352
h6-1.5,Linear H6 at 1.5 A,7,-2.9611223334235035,0.03444309240843868,26,199,67,324,186.13662258302793
h6-1.5,Linear H6 at 1.5 A,8,-2.9677006646266424,0.027864761205299793,29,226,74,363,263.98217220802326
h6-1.5,Linear H6 at 1.5 A,9,-2.969647601405022,0.025917824426920255,35,265,87,435,297.94559120800113
h6-1.5,Linear H6 at 1.5 A,10,-2.9717944587739518,0.023770967057990422,41,304,100,507,347.7588445000001
h6-1.5,Linear H6 at 1.5 A,11,-2.974562100732434,0.021003325099508086,47,343,113,579,450.4205163330189
h6-1.5,Linear H6 at 1.5 A,12,-2.97730789473002,0.018257531101922186,53,382,126,651,515.544509542
h6-1.5,Linear H6 at 1.5 A,13,-2.983629878110378,0.011935547721564355,59,421,139,723,588.9093305420247
h6-1.5,Linear H6 at 1.5 A,14,-2.9875893498775175,0.007976075954424733,65,460,152,795,686.3236260419944
h6-1.5,Linear H6 at 1.5 A,15,-2.989049651234045,0.006515774597897206,71,499,165,867,799.8346063750214
h6-1.5,Linear H6 at 1.5 A,16,-2.9895149432902652,0.006050482541676949,75,525,178,915,903.3487019169843
h6-1.5,Linear H6 at 1.5 A,17,-2.99003403724564,0.005531388586302199,81,564,191,987,1025.0969842920313
h6-1.5,Linear H6 at 1.5 A,18,-2.990798294985301,0.004767130846641265,87,594,204,1049,1163.8717803750187
h6-1.5,Linear H6 at 1.5 A,19,-2.9911032923621077,0.004462133469834484,93,624,217,1111,1298.2721698330133
h6-1.5,Linear H6 at 1.5 A,20,-2.9915020125188896,0.0040634133130525996,99,663,230,1183,1449.6271412920323
h6-1.5,Linear H6 at 1.5 A,21,-2.9920560503691815,0.0035093754627606444,105,702,242,1255,1615.0679558750126
h6-1.5,Linear H6 at 1.5 A,22,-2.992882933637124,0.002682492194818309,111,741,255,1327,1809.767655292002
h6-1.5,Linear H6 at 1.5 A,23,-2.9930657222647463,0.0024997035671958656,118,771,268,1389,1991.6233895830228
